Step,Time,Temp,PotEng,TotEng,Press,Volume
162000,161.999,128.26821,4904.4142,4970.7175,410302.97,102711.26
163000,162.999,127.93277,4892.2441,4958.374,409248.08,102759.89
164000,163.999,127.94766,4880.333,4946.4705,408221.73,102806.87
165000,164.999,127.87686,4868.8576,4934.9586,407231.26,102852.5
166000,165.999,129.80521,4856.5821,4923.6799,406207.9,102897.07
167000,166.999,128.43068,4846.2535,4912.6408,405297.16,102940.94
168000,167.999,128.73159,4835.1386,4901.6814,404348.09,102984.48
169000,168.999,127.39257,4824.9853,4890.836,403448.62,103028.07
170000,169.999,127.66656,4813.876,4879.8682,402496.29,103072.09
171000,170.999,127.31832,4802.8643,4868.6766,401545.5,103116.9
172000,171.999,127.34317,4791.4648,4857.29,400564.31,103162.83
173000,172.999,126.55685,4780.1397,4845.5584,399578.21,103210.18
174000,173.999,127.92,4767.3158,4833.4391,398499.68,103259.19
175000,174.999,126.80218,4755.3815,4820.927,397454.9,103310.06
176000,175.999,127.73583,4741.899,4807.9271,396313.08,103362.93
177000,176.999,125.24298,4729.7653,4794.5048,395228.93,103417.87
178000,177.999,126.06177,4715.4386,4780.6013,394011.16,103474.88
179000,178.999,125.68995,4701.2765,4766.2471,392788.98,103533.92
180000,179.999,127.17821,4685.7335,4751.4734,391479.14,103594.88
181000,180.999,125.22859,4671.5913,4736.3234,390234.36,103657.59
182000,181.999,125.24263,4656.1421,4720.8814,388908.47,103721.84
183000,182.999,124.13191,4640.9889,4705.1541,387591.87,103787.37
184000,183.999,125.10758,4624.5763,4689.2459,386202.02,103853.9
185000,184.999,124.68513,4608.8105,4673.2616,384843.59,103921.12
186000,185.999,124.57841,4592.8728,4657.2688,383474.55,103988.73
187000,186.999,124.88879,4576.6891,4641.2456,382095.9,104056.41
188000,187.999,126.43772,4560.0239,4625.381,380694.54,104123.86
189000,188.999,124.39345,4545.4009,4609.7013,379409.57,104190.81
190000,189.999,124.30777,4529.9785,4594.2346,378089.03,104256.99
191000,190.999,123.75774,4515.1139,4579.0857,376807.85,104322.21
192000,191.999,124.19113,4500.0117,4564.2075,375524.83,104386.3
193000,192.999,126.77953,4484.1656,4549.6993,374213.27,104449.12
194000,193.999,122.54761,4472.2055,4535.5517,373121.68,104510.61
195000,194.999,124.06651,4457.6141,4521.7455,371900.9,104570.76
196000,195.999,123.70839,4444.3241,4508.2704,370762.07,104629.59
197000,196.999,123.91056,4431.0902,4495.141,369635.68,104687.17
198000,197.999,122.7051,4418.8717,4482.2994,368574.36,104743.64
199000,198.999,122.22353,4406.5639,4469.7426,367515.7,104799.15
200000,199.999,124.11889,4393.1978,4457.3562,366408.57,104853.89
201000,200.999,121.79436,4382.1646,4445.1215,365432.35,104908.08
202000,201.999,123.29765,4369.2838,4433.0178,364359.76,104961.97
203000,202.999,123.11494,4357.3378,4420.9773,363339.12,105015.79
204000,203.999,122.57383,4345.5237,4408.8835,362326.78,105069.8
205000,204.999,122.76597,4333.3077,4396.7668,361289.81,105124.24
206000,205.999,122.407,4321.2394,4384.5129,360259.04,105179.35
207000,206.999,122.98374,4308.547,4372.1187,359189.06,105235.33
208000,207.999,124.44823,4295.1611,4359.4898,358077.45,105292.38
209000,208.999,121.52856,4283.7975,4346.6169,357067.39,105350.65
210000,209.999,121.25334,4270.8588,4333.536,355964.86,105410.26
211000,210.999,121.84486,4257.137,4320.12,354813.1,105471.3
212000,211.999,124.64715,4242.0776,4306.5091,353579.66,105533.82
213000,212.999,122.70027,4229.1611,4292.5862,352453.73,105597.83
214000,213.999,119.81172,4216.3842,4278.3162,351329.37,105663.29
215000,214.999,123.43696,4200.1323,4263.9383,350008.92,105730.13
216000,215.999,122.32903,4185.965,4249.1983,348795.36,105798.26
217000,216.999,119.81072,4172.3335,4234.265,347605.5,105867.55
218000,217.999,119.55615,4157.4325,4219.2325,346342.15,105937.85
219000,218.999,119.13428,4142.4908,4204.0726,345073.76,106008.97
220000,219.999,121.63479,4125.8987,4188.7731,343716.92,106080.73
221000,220.999,121.30987,4110.7781,4173.4846,342436.02,106152.95
222000,221.999,119.79779,4096.2215,4158.1463,341187.41,106225.42
223000,222.999,121.75869,4079.9545,4142.893,339849.87,106297.96
224000,223.999,119.38069,4065.9659,4127.6752,338637.01,106370.39
225000,224.999,120.07658,4050.4808,4112.5497,337348.66,106442.55
226000,225.999,119.34034,4035.9302,4097.6186,336113.95,106514.3
227000,226.999,119.35754,4021.1408,4082.838,334873.55,106585.51
228000,227.999,118.49222,4006.8965,4068.1465,333669.42,106656.11
229000,228.999,117.54587,3992.9508,4053.7116,332486,106726.02
230000,229.999,116.79759,3979.1299,4039.5038,331317.01,106795.23
231000,230.999,116.98812,3965.018,4025.4905,330137.77,106863.72
232000,231.999,116.47035,3951.4008,4011.6056,328992.52,106931.53
233000,232.999,118.2352,3936.8603,3997.9774,327803.38,106998.71
234000,233.999,117.27417,3923.8154,3984.4358,326699.16,107065.33
235000,234.999,117.66227,3910.2233,3971.0442,325571.2,107131.51
236000,235.999,118.64838,3896.4534,3957.7841,324437.24,107197.36
237000,236.999,116.60214,3884.2693,3944.5423,323391.82,107263.01
238000,237.999,119.25917,3869.7904,3931.4369,322225.86,107328.6
239000,238.999,116.72642,3857.9626,3918.2998,321202.16,107394.28
240000,239.999,115.70578,3845.3645,3905.1742,320138.03,107460.2
241000,240.999,117.1604,3831.4641,3892.0257,319003.69,107526.51
242000,241.999,117.46442,3818.073,3878.7917,317896.43,107593.34
243000,242.999,116.18123,3805.4424,3865.4978,316826.92,107660.82
244000,243.999,114.11718,3793.0411,3852.0295,315767.31,107729.06
245000,244.999,114.78314,3779.1575,3838.4902,314626.2,107798.16
246000,245.999,116.41165,3764.6825,3824.8569,313449.83,107868.19
247000,246.999,113.64268,3752.2688,3811.012,312378.84,107939.22
248000,247.999,115.55655,3737.3139,3797.0464,311170.08,108011.28
249000,248.999,113.91824,3724.0142,3782.8998,310044.66,108084.38
250000,249.999,112.95119,3710.2338,3768.6195,308889.93,108158.53
251000,250.999,116.48992,3694.0092,3754.2242,307603.88,108233.68
252000,251.999,113.66202,3680.9072,3739.6604,306477.74,108309.8
253000,252.999,112.51179,3666.8207,3724.9794,305297.34,108386.83
254000,253.999,113.68534,3651.4548,3710.22,304047.44,108464.68
255000,254.999,114.93591,3635.9606,3695.3723,302789.26,108543.27
256000,255.999,111.23148,3622.9492,3680.446,301659.44,108622.5
257000,256.999,115.56201,3605.7545,3665.4899,300311.69,108702.28
258000,257.999,111.44551,3592.9159,3650.5233,299190.21,108782.49
259000,258.999,114.17423,3576.5232,3635.5412,297884.63,108863.04
260000,259.999,112.52796,3562.4042,3620.5712,296698.51,108943.82
261000,260.999,112.49362,3547.4936,3605.6428,295472.72,109024.74
262000,261.999,113.49322,3532.1187,3590.7846,294225.76,109105.71
263000,262.999,112.92073,3517.5951,3575.9651,293025.43,109186.66
264000,263.999,111.95841,3503.3437,3561.2163,291841.91,109267.54
265000,264.999,114.02704,3487.6277,3546.5695,290585.75,109348.28
266000,265.999,112.77148,3473.706,3531.9989,289425.81,109428.87
267000,266.999,110.02706,3460.6427,3517.5169,288313.58,109509.28
268000,267.999,111.57461,3445.4554,3503.1296,287094.63,109589.51
269000,268.999,110.33713,3431.8025,3488.837,285958.8,109669.57
270000,269.999,112.99878,3416.2138,3474.6242,284725.85,109749.49
271000,270.999,112.1479,3402.5184,3460.4889,283594.14,109829.31
272000,271.999,111.43001,3388.8099,3446.4093,282463.75,109909.07
273000,272.999,109.84263,3375.6137,3432.3926,281362.17,109988.85
274000,273.999,109.92593,3361.5929,3418.4149,280220.03,110068.7
275000,274.999,109.04054,3348.1063,3404.4706,279106.69,110148.69
276000,275.999,109.69301,3333.8406,3390.5422,277954.54,110228.91
277000,276.999,110.43379,3319.5344,3376.6189,276801.1,110309.44
278000,277.999,109.33625,3306.1719,3362.6891,275696.63,110390.34
279000,278.999,109.25578,3292.259,3348.7346,274563.37,110471.69
280000,279.999,111.01286,3277.3648,3334.7486,273380.33,110553.58
281000,280.999,109.99479,3263.8621,3320.7196,272267.14,110636.05
282000,281.999,109.23233,3250.1784,3306.6418,271144.08,110719.16
283000,282.999,108.84042,3236.2409,3292.5017,270006.52,110802.98
284000,283.999,109.33194,3221.7862,3278.3011,268842.38,110887.53
285000,284.999,109.61914,3207.3671,3264.0305,267677.33,110972.84
286000,285.999,109.46441,3193.1073,3249.6907,266519.68,111058.94
287000,286.999,107.11827,3179.9122,3235.2828,265414.6,111145.84
288000,287.999,108.3093,3164.8176,3220.8039,264211.06,111233.54
289000,288.999,108.79878,3150.0208,3206.2602,263021.79,111322.02
290000,289.999,106.05629,3136.8356,3191.6573,261913.64,111411.27
291000,290.999,109.12834,3120.5858,3176.9954,260648.25,111501.27
292000,291.999,108.16723,3106.3739,3162.2867,259485.67,111591.97
293000,292.999,107.33198,3092.0539,3147.535,258316.56,111683.35
294000,293.999,107.0749,3077.4023,3132.7505,257131.17,111775.36
295000,294.999,108.08568,3062.0699,3117.9407,255911.25,111867.96
296000,295.999,107.35813,3047.6175,3103.1121,254735.54,111961.09
297000,296.999,105.39895,3033.7942,3088.2761,253592.08,112054.72
298000,297.999,106.47037,3018.4032,3073.4389,252370.09,112148.79
299000,298.999,107.32688,3003.1278,3058.6062,251154.96,112243.27
300000,299.999,105.81632,2989.0914,3043.789,250003.69,112338.12
301000,300.999,105.22323,2974.5974,3028.9885,248829.81,112433.29
302000,301.999,104.68746,2960.0978,3014.2119,247657.51,112528.77
303000,302.999,105.31181,2945.0272,2999.4641,246458.11,112624.52
304000,303.999,104.70596,2930.6226,2984.7463,245293.88,112720.53
305000,304.999,103.55441,2916.5334,2970.0618,244147.43,112816.79
306000,305.999,105.11734,2901.0722,2955.4086,242933.05,112913.29
307000,306.999,106.16925,2885.9087,2940.7888,241735.4,113010.04
308000,307.999,104.36901,2872.2528,2926.2024,240615.53,113107.04
309000,308.999,103.58912,2858.0992,2911.6456,239472.42,113204.31
310000,309.999,103.10658,2843.8188,2897.1158,238324.13,113301.87
311000,310.999,103.99829,2828.8503,2882.6082,237142.01,113399.75
312000,311.999,103.60566,2814.5664,2868.1213,235996.81,113497.97
313000,312.999,102.8147,2800.5036,2853.6497,234863.19,113596.57
314000,313.999,102.08486,2786.4199,2839.1887,233729.81,113695.58
315000,314.999,101.61395,2772.2073,2824.7327,232589.99,113795.04
316000,315.999,102.69358,2757.1936,2810.2771,231411.71,113894.99
317000,316.999,102.99406,2742.5796,2795.8184,230254.27,113995.46
318000,317.999,102.13598,2728.5549,2781.3501,229125.98,114096.49
319000,318.999,103.2664,2713.4899,2766.8695,227946.15,114198.12
320000,319.999,102.34317,2699.4703,2752.3727,226818.47,114300.37
321000,320.999,99.884784,2686.2254,2737.857,225729.84,114403.28
322000,321.999,101.23156,2670.9895,2723.3172,224542.1,114506.88
